Payload,Signature,AttackType,Severity,MITRE,Label,Description
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/admin/config,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/api/user/2/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/admin/config,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/admin/config,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/admin/config,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/api/user/2/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/api/user/2/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../private/documents,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../private/documents,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
user_id=0,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/dashboard,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/dashboard,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/admin/config,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
file_id=999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/restricted/area,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
/restricted/area,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../sensitive/data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
patient_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
other_user_id=999999,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
document_id=0x41414141,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../admin/users,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
account_id=../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
record_id=../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../user/1,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
0/records,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
profile_id=admin,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../other_user/profile,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../sensitive_data,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
../../../sensitive,IDOR,IDOR,High,T1078,Malicious,IDOR attack attempt
